"State Imports by HS Commodities"
"Current date: 06/23/2021 9:56 PM (Eastern Daylight Time)"
"Country: World Total"
"Measures: Total Value ($US)"
"State","Commodity","Time","Total Value ($US)",
"Alabama","360410 Fireworks","2016","29,602,090"
"Alabama","360410 Fireworks","2017","19,396,430"
"Alabama","360410 Fireworks","2018","26,399,895"
"Alabama","360410 Fireworks","2019","28,353,392"
"Alabama","360410 Fireworks","2020","23,141,950"
"Alabama","360410 Fireworks","2021 through April","12,182,078"
"Alaska","360410 Fireworks","2016","109,001"
"Alaska","360410 Fireworks","2017","226,399"
"Alaska","360410 Fireworks","2018","231,243"
"Arizona","360410 Fireworks","2016","718,000"
"Arizona","360410 Fireworks","2017","1,034,060"
"Arizona","360410 Fireworks","2018","1,294,404"
"Arizona","360410 Fireworks","2019","1,042,197"
"Arizona","360410 Fireworks","2020","1,415,936"
"Arizona","360410 Fireworks","2021 through April","751,640"
"Arkansas","360410 Fireworks","2016","5,808,578"
"Arkansas","360410 Fireworks","2017","2,628,217"
"Arkansas","360410 Fireworks","2018","3,956,657"
"Arkansas","360410 Fireworks","2019","3,007,191"
"Arkansas","360410 Fireworks","2020","3,800,572"
"Arkansas","360410 Fireworks","2021 through April","2,100,336"
"California","360410 Fireworks","2016","14,067,642"
"California","360410 Fireworks","2017","13,000,442"
"California","360410 Fireworks","2018","18,402,996"
"California","360410 Fireworks","2019","17,732,810"
"California","360410 Fireworks","2020","14,968,906"
"California","360410 Fireworks","2021 through April","5,893,441"
"Colorado","360410 Fireworks","2016","765,963"
"Colorado","360410 Fireworks","2017","879,850"
"Colorado","360410 Fireworks","2018","789,824"
"Colorado","360410 Fireworks","2019","650,888"
"Colorado","360410 Fireworks","2020","825,313"
"Colorado","360410 Fireworks","2021 through April","388,155"
"Connecticut","360410 Fireworks","2016","328,714"
"Connecticut","360410 Fireworks","2017","432,540"
"Connecticut","360410 Fireworks","2018","337,954"
"Connecticut","360410 Fireworks","2019","509,653"
"Connecticut","360410 Fireworks","2020","459,680"
"Connecticut","360410 Fireworks","2021 through April","229,605"
"Dist of Columbia","360410 Fireworks","2017","12,995"
"Florida","360410 Fireworks","2016","16,666,207"
"Florida","360410 Fireworks","2017","18,065,772"
"Florida","360410 Fireworks","2018","15,931,113"
"Florida","360410 Fireworks","2019","16,711,138"
"Florida","360410 Fireworks","2020","12,022,629"
"Florida","360410 Fireworks","2021 through April","4,461,091"
"Georgia","360410 Fireworks","2016","436,063"
"Georgia","360410 Fireworks","2017","138,007"
"Georgia","360410 Fireworks","2018","426,309"
"Georgia","360410 Fireworks","2019","421,266"
"Georgia","360410 Fireworks","2020","764,976"
"Georgia","360410 Fireworks","2021 through April","631,432"
"Hawaii","360410 Fireworks","2016","807,483"
"Hawaii","360410 Fireworks","2017","672,925"
"Hawaii","360410 Fireworks","2018","568,458"
"Hawaii","360410 Fireworks","2019","655,480"
"Hawaii","360410 Fireworks","2020","554,955"
"Idaho","360410 Fireworks","2016","589,311"
"Idaho","360410 Fireworks","2017","585,801"
"Idaho","360410 Fireworks","2018","477,691"
"Idaho","360410 Fireworks","2019","759,796"
"Idaho","360410 Fireworks","2020","812,962"
"Idaho","360410 Fireworks","2021 through April","352,596"
